Sector,2013 (metric tons CO2eq),2014 (metric tons CO2eq),2015 (metric tons CO2eq),2016 (metric tons CO2eq),2017 (metric tons CO2eq),2018 (metric tons CO2eq),2019 (metric tons CO2eq),2020 (metric tons CO2eq),2021 (metric tons CO2eq),2022 (metric tons CO2eq),2023 (metric tons CO2eq)
Agriculture,8811,7318,2210,2820,7064,7111,4003,5703,1763,6367,5957
Aviation,4038,4168,4039,6396,9416,4115,9182,6797,6791,4155,8098
Commercial,3391,4222,8190,3962,1033,4344,1888,8042,8339,6675,5804
Energy,4158,8232,7487,6937,8899,6258,3384,7949,6560,5247,5587
Forestry,4327,5797,4712,9477,7794,2883,8510,1513,9780,8171,8077
Industrial,6163,2883,5084,9199,6718,3831,6241,6320,7207,1817,4404
Marine,3621,7164,4654,5675,3656,1229,2089,6505,2272,8000,4607
Residential,2046,7948,9766,8615,7336,1727,4292,1486,1011,1332,2724
Transportation,1093,8238,4016,2930,1567,8223,2401,9836,5637,3595,6892
Waste,5439,9141,8371,8718,1608,4884,5959,4998,5897,7818,5380
