Sector,2013 (metric tons CO2eq),2014 (metric tons CO2eq),2015 (metric tons CO2eq),2016 (metric tons CO2eq),2017 (metric tons CO2eq),2018 (metric tons CO2eq),2019 (metric tons CO2eq),2020 (metric tons CO2eq),2021 (metric tons CO2eq),2022 (metric tons CO2eq),2023 (metric tons CO2eq)
Agriculture,5398,3261,121,6395,6011,6434,5946,9753,5039,6677,7353
Aviation,2278,6684,496,6441,9134,2390,6682,3713,8215,1126,5977
Commercial,1441,5543,7266,2838,4094,3752,690,4059,9745,9057,2176
Energy,1380,1318,58,2626,2374,1569,7908,2182,7088,8167,6616
Forestry,698,5893,6233,7113,7876,1651,1909,2298,7788,9182,2887
Industrial,481,3259,1332,9628,8433,2278,3356,7441,430,5237,5262
Marine,5706,9511,1578,2326,9668,7962,5831,7882,5570,6672,5534
Residential,4112,1224,440,4447,9649,7338,6839,9791,3082,9235,1349
Transportation,9558,1090,1208,7064,4669,8791,547,4198,4728,8260,2205
Waste,4961,5922,2939,9404,9790,6139,5499,7832,1205,5028,8280
